Title,Description,Semester,Instructor
Artificial Intelligence (CE Lab),...,Sahar Waqar,Fall 2024
"Artificial Intelligence Lab (A, B,D)",...,Numan Shafi,Fall 2024
Software Engineering for AI,The course takes a software engineering perspective on building software systems with a...,Samyan Qayyum Wahla,Fall 2024
Artificial Intelligence (Lab),"This course introduces representations, techniques, and architectures used to build applied...",Samyan Qayyum Wahla,Fall 2024
Artificial Intelligence,"This course introduces representations, techniques, and architectures used to build applied...",Samyan Qayyum Wahla,Fall 2024
Signal & Systems,The objective of this course is to develop the understanding of the basic ideas of the Signals &...,Sahar Waqar,Fall 2024
Applications of ICT,This course is designed to provide an introduction to the key concepts and technologies used in...,Sahar Waqar,Fall 2024
Data Structures and Algorithms,The course introduces the theory of complexity and abstract data structures as basic building...,Nazeef Ul Haq,Fall 2024
Data Structures and Algorithms(Lab),The course introduces the theory of complexity and abstract data structures as basic building...,Nazeef Ul Haq,Fall 2024
Final Year Project (2021),...,Numan Shafi,Spring 2024
